序号,费用类别,子项说明,金额（元）
1,场地费,场地租赁,3500
2,场地费,器材租赁,3000
3,场地费,裁判服务,1000
4,活动费,摄影摄像,1500
5,活动费,宣传物料,1000
6,活动费,活动策划执行,2500
7,活动费,团队服装,2500
8,交通费,车费,2500
9,餐饮费,餐饮,2500
合计,,,20000
